English,French,Hindi
broadcasts,diffusions,प्रसारण
chemically,chimiquement,रासायनिक
generations,générations,पीढ़ियाँ
harvesters,moissonneuses,फसल काटने वाले
impressing,impressionnant,प्रभावशाली
journalism,journalisme,पत्रकारिता
lifesavers,sauveurs de vies,जीवनरक्षक
mechanical,mécanique,यांत्रिक
networking,réseautage,नेटवर्किंग
absolutely,absolument,पूर्णतः
apartment,appartement,अपार्टमेंट
background,arrière-plan,पृष्ठभूमि
basketball,basket-ball,बास्केटबॉल
calculation,calcul,गणना
challenges,défis,चुनौतियाँ
classified,classifié,वर्गीकृत
collection,collection,संग्रह
candidates,candidats,उम्मीदवार
components,composants,घटक
continuous,continu,लगातार
countryside,campagne,देहात
dangerous,dangereux,खतरनाक
developer,développeur,विकासकर्ता
directions,directions,निर्देश
discussing,discutant,चर्चा करना
efficiency,efficacité,प्रभावशीलता
employment,emploi,रोजगार
everything,tout,सब कुछ
fascinated,fasciné,मोहित
foundation,fondation,आधार
government,gouvernement,सरकार
guidelines,lignes directrices,मार्गदर्शक
happiness,bonheur,खुशी
impossible,impossible,असंभव
innovation,innovation,नवोन्मेष
investment,investissement,निवेश
leadership,leadership,नेतृत्व
management,gestion,प्रबंधन
medication,médicament,दवा
monitoring,surveillance,निगरानी
networking,réseautage,नेटवर्किंग
operation,opération,संचालन
partnership,partenariat,साझेदारी
population,population,जनसंख्या
productive,productif,उत्पादक
programming,programmation,प्रोग्रामिंग
projection,projection,प्रक्षिपण
reasonable,raisonnable,समझदारी
recognition,reconnaissance,पहचान
reduction,réduction,कमी
resolution,résolution,समाधान
successful,réussi,सफल
technology,technologie,प्रौद्योगिकी
transition,transition,परिवर्तन
understand,comprendre,समझना
university,université,विश्वविद्यालय
volunteers,bénévoles,स्वयंसेवक
accountant,comptable,लेखाकार
adventure,aventure,साहसिकता
aftershock,répliques sismiques,पश्चात झटका
algorithm,algorithme,अल्गोरिदम
alligator,alligator,अलिगेटर
animation,animation,एनिमेशन
architect,architecte,वास्तुविद
artificial,artificiel,कृत्रिम
authority,autorité,प्राधिकरण
behavior,comportement,व्यवहार
biography,biographie,जीवनी
boardwalk,promenade en planches,बोर्डवाक
brilliance,brillance,प्रतिभा
butterfly,papillon,तितली
carbonated,carbonaté,कार्बोनेटेड
cafeteria,cafétéria,कैफेटेरिया
celebration,célébration,उत्सव
centrifugal,centrifuge,सेंट्रीफुगल
chamberlain,chamberlain,चेम्बरलेन
champions,champions,चैम्पियन
chemistry,chimie,रसायन विज्ञान
citizenship,citoyenneté,नागरिकता
collection,collection,संग्रह
combustion,combustion,दहन
community,communauté,समुदाय
confession,confession,स्वीकृति
congestion,congestion,भीड़
container,conteneur,कंटेनर
correlation,corrélation,संबंध
courageous,courageux,साहसी
countryside,campagne,देहात
curriculum,programme,पाठ्यक्रम
decreasing,diminution,घटता हुआ
dedication,dévotion,समर्पण
department,département,विभाग
depression,dépression,अवसाद
detention,détention,रोकथाम
directory,répertoire,निर्देशिका
disinfect,désinfecter,विषाणु रहित
distortion,distorsion,विकृति
dynamo,dynamo,डायनेमो
education,éducation,शिक्षा
electronics,électronique,इलेक्ट्रॉनिक्स
elevation,élévation,उच्चता
employment,emploi,रोजगार
encryption,cryptage,एन्क्रिप्शन
endurance,endurance,धैर्य
enterprise,entreprise,उद्यम
excitement,excitation,उत्साह
exhibition,exposition,प्रदर्शनी
experience,expérience,अनुभव
expression,expression,अभिव्यक्ति
fascination,fascination,मोह
fellowship,bourse,मित्रता
financial,financier,वित्तीय
fireworks,feux d'artifice,आतिशबाज़ी
foundation,fondation,आधार
generation,génération,पीढ़ी
geography,géographie,भूगोल
gratitude,gratitude,आभार
gymnastics,gymnastique,जिमनास्टिक
healthcare,soins de santé,स्वास्थ्य देखभाल
hemisphere,hémisphère,अर्धगोलार्ध
historical,historique,ऐतिहासिक
horizontal,horizontal,क्षैतिज
innovation,innovation,नवोन्मेष
inspection,inspection,परीक्षण
insurance,assurance,बीमा
intensity,intensité,तीव्रता
laboratory,laboratoire,प्रयोगशाला
leadership,leadership,नेतृत्व
lighthouse,phare,दीपगृह
machinery,machinerie,मशीनरी
marvelous,merveilleux,अद्भुत
mechanism,mécanisme,यांत्रिकी
meditation,méditation,ध्यान
migration,migration,माइग्रेशन
motivation,motivation,प्रेरणा
navigation,navigation,नेविगेशन
nutritious,nutritif,पोषणीय
occupation,occupation,व्यवसाय
operations,opérations,संचालन
opportunist,opportuniste,अवसरवादी
opposition,opposition,विपक्ष
parliament,parlement,संसद
perfection,perfection,परिपूर्णता
performance,performance,प्रदर्शन
permission,permission,अनुमति
philosophy,philosophie,दर्शनशास्त्र
photography,photographie,फोटोग्राफी
population,population,जनसंख्या
precaution,précaution,सावधानी
prediction,prédiction,भविष्यवाणी
preference,préférence,पसंद
processing,traitement,प्रसंस्करण
production,production,उत्पादन
profession,profession,पेशेवर
protection,protection,सुरक्षा
revolution,révolution,क्रांति
saturation,saturation,संतृप्ति
separation,séparation,विभाजन
simulation,simulation,सिमुलेशन
signature,signature,हस्ताक्षर
simplicity,simplicité,सादगी
smartphone,smartphone,स्मार्टफोन
socialism,socialisme,सामाजिकवाद
starvation,famine,भुखमरी
structure,structure,संरचना
submission,soumission,समर्पण
suggestion,suggestion,सुझाव
supervisor,superviseur,पर्यवेक्षक
supporter,supporter,समर्थक
suspension,suspension,निलंबन
systematic,systématique,प्रणालीगत
technology,technologie,प्रौद्योगिकी
television,télévision,टेलीविजन
tournament,tournoi,टूर्नामेंट
trajectory,trajectoire,पथ
transition,transition,परिवर्तन
translation,traduction,अनुवाद
university,université,विश्वविद्यालय
vegetation,végétation,वनस्पति
visibility,visibilité,दृश्यता
volleyball,volley-ball,वॉलीबॉल
warehouse,entrepôt,गोदाम
wilderness,nature sauvage,वन्यभूमि
windshield,pare-brise,विंडशील्ड
worthwhile,bénéfique,लाभकारी
zoologists,zoologistes,जूलॉजिस्ट
Absolute,absolu,पूर्ण
Adventurous,aventureux,साहसी
Alignment,alignement,सारणी
Anxiously,anxieusement,चिंतित
Biochemical,biomédical,रासायनिक
Boundary,frontière,सीमा
Calculate,calculer,गणना
Capacity,capacité,क्षमता
Cellular,cellulaire,कोशिका
Confident,confiant,आत्म-विश्वास
Conclude,conclure,निष्कर्ष
Connects,connecte,जोड़ता है
Dangerous,dangereux,खतरनाक
Deficient,déficient,अपर्याप्त
Designer,designer,डिजाइनर
Diligence,diligence,परिश्रम
Discreet,discret,सतर्क
Distinct,distinct,स्पष्ट
Emotional,émotionnel,भावनात्मक
Equivalent,équivalent,समान
Essential,essentiel,आवश्यक
Exercise,exercice,व्यायाम
Facility,installations,सुविधा
Forehead,front,माथा
Frequency,fréquence,आवृत्ति
Guarantee,garantie,गारंटी
Happiness,bonheur,खुशी
Hospital,hôpital,अस्पताल
Impressive,impressionnant,प्रभावशाली
Ingredient,ingrédient,सामग्री
Invention,invention,आविष्कार
Kindness,gentillesse,दया
Learning,apprentissage,सीखना
Medicine,médecine,औषधि
Multiple,multiple,कई
Objective,objectif,उद्देश्य
Package,paquet,पैकेट
Potential,potentiel,संभावना
Receptive,réceptif,सकारात्मक
Relative,relatif,संबंधित
Scientific,scientifique,वैज्ञानिक
Suitable,approprié,उपयुक्त
Technical,technique,तकनीकी
Tolerance,tolérance,सहिष्णुता
Unique,unique,अनन्य
Validate,valider,सत्यापित
Variety,variété,विविधता
Voluntary,volontaire,स्वैच्छिक
Wanderer,vagabond,भटकने वाला
Working,travaillant,कामकाजी