English,Hindi
Help!,बचाओ!
Jump.,कूदो।
Jump.,कूदो।
Jump.,कूदो।
Hello!,नमस्ते!
Hello!,नमस्ते!
Cheers!,चीयर्स!
Cheers!,चीयर्स!
Got it?,समझे?
I'm OK.,मैं ठीक हूँ।
Awesome!,शानदार!
Come in.,अंदर आओ।
Get out!,बाहर जाओ!
Go away!,दूर हटो!
Goodbye!,अलविदा!
Perfect!,बिल्कुल सही!
Perfect!,बिल्कुल सही!
Welcome.,स्वागत है।
Welcome.,स्वागत है।
Have fun.,मज़े करो।
Have fun.,मज़े करो।
Have fun.,मज़े करो।
I forgot.,मैं भूल गया।
I forgot.,मैं भूल गया।
I'll pay.,मैं भुगतान कर दूँगा।
I'm fine.,मैं ठीक हूँ।
I'm full.,मैं भर गया हूँ।
Let's go!,चलो चलते हैं!
Answer me.,मुझे जवाब दो।
Birds fly.,पक्षी उड़ते हैं।
Excuse me.,मुझे माफ़ कीजिये।
Fantastic!,शानदार!
I fear so.,मुझे डर है।
I laughed.,मैं हँसा।
I'm bored.,मैं बोर हो रहा हूँ।
I'm broke.,मैं कंगाल हूँ।
I'm tired.,मैं थक गया हूँ।
It's cold.,ठंड है।
Who knows?,कौन जानता है?
Who knows?,कौन जानता है?
Who knows?,कौन जानता है?
Who knows?,कौन जानता है?
Wonderful!,शानदार!
Birds sing.,पक्षी गाते हैं।
Come on in.,अंदर आ जाओ।
Definitely!,निश्चित रूप से!
Don't move.,हिलो मत।
Fire burns.,आग जलती है।
Follow him.,उसका अनुसरण करो।
I am tired.,मैं थक गया हूँ।
I can swim.,मैं तैर सकता हूँ।
I can swim.,मैं तैर सकता हूँ।
I love you.,मैं तुमसे प्यार करता हूँ।
I love you.,मैं तुमसे प्यार करता हूँ।
I love you.,मैं तुमसे प्यार करता हूँ।
I love you.,मैं तुमसे प्यार करता हूँ।
I love you.,मैं तुमसे प्यार करता हूँ।
I will try.,मैं कोशिश करूंगा।
I'm coming.,मैं आ रहा हूँ।
I'm hungry!,मैं भूखा हूँ!
I'm hungry!,मैं भूखा हूँ!
Let him in.,उसे अंदर आने दो।
Let him in.,उसे अंदर आने दो।
Let me out!,मुझे बाहर निकलने दो!
Once again.,एक बार फिर।
Please sit.,कृपया बैठिए।
What's new?,क्या नया है?
What's new?,क्या नया है?
Who's that?,वो कौन है?
Don't shout.,चिल्लाओ मत।
Don't shout.,चिल्लाओ मत।
He stood up.,वह खड़ा हो गया।
He's strong.,वह मजबूत है।
How are you?,तुम कैसे हो?
How are you?,तुम कैसे हो?
How are you?,तुम कैसे हो?
How are you?,तुम कैसे हो?
How are you?,तुम कैसे हो?
How are you?,तुम कैसे हो?
How are you?,तुम कैसे हो?
I am hungry.,मैं भूखा हूँ।
I like both.,मुझे दोनों पसंद हैं।
I like cake.,मुझे केक पसंद है।
I like dogs.,मुझे कुत्ते पसंद हैं।
I like math.,मुझे गणित पसंद है।
I'll attend.,मैं भाग लूंगा।
Nobody came.,कोई नहीं आया।
Was I wrong?,क्या मैं गलत था?
What's this?,यह क्या है?
Are you sick?,क्या आप बीमार हैं?
Bring him in.,उसे अंदर लाओ।
Come with us.,हमारे साथ आओ।
Happy Easter!,ईस्टर की शुभकामनाएँ!
Has Tom left?,क्या टॉम चला गया है?
He is French.,वह फ्रेंच है।
I am at home.,मैं घर पर हूँ।
I can't move.,मैं हिल नहीं सकता।
I don't know.,मुझे नहीं पता।
I don't know.,मुझे नहीं पता।
I have a car.,मेरे पास एक कार है।
I have a dog.,मेरे पास एक कुत्ता है।
I understand.,मैं समझता हूँ।
I'm a doctor.,मैं एक डॉक्टर हूँ।
I'm starving!,मैं भूख से मर रहा हूँ!
It is a book.,यह एक किताब है।
It's snowing.,बर्फ गिर रही है।
It's too big.,यह बहुत बड़ा है।
Please leave.,कृपया छोड़ दें।
Unbelievable!,अविश्वसनीय!
We are happy.,हम खुश हैं।
What is this?,यह क्या है?
Are you tired?,क्या आप थके हुए हैं?
Can you drive?,क्या तुम गाड़ी चला सकते हो?
Don't get fat.,मोटे मत बनो।
Don't give in.,हार मत मानो।
Drink it down.,इसे पी लो।
Everyone dies.,हर कोई मरता है।
Flowers bloom.,फूल खिलते हैं।
I am who I am.,मैं जैसा हूँ वैसा हूँ।
I'll take him.,मैं उसे ले जाऊंगा।
I'm tired now.,मैं अब थक गया हूँ।
I'm very busy.,मैं बहुत व्यस्त हूँ।
Is that a cat?,क्या वह बिल्ली है?
It's for free.,यह मुफ्त है।
It's for free.,यह मुफ्त है।
Let me try it.,मुझे इसे आजमाने दो।
Let me try it.,मुझे इसे आजमाने दो।
Let me try it.,मुझे इसे आजमाने दो।
Make it quick.,इसे जल्दी करो।
May I come in?,क्या मैं अंदर आ सकता हूँ?
Open the door.,दरवाजा खोलो।
Open the door.,दरवाजा खोलो।
Please get in.,कृपया अंदर आइए।
Read it again.,इसे फिर से पढ़ो।
Read it aloud.,इसे जोर से पढ़ो।
She bent down.,वह झुक गई।
Some fish fly.,कुछ मछलियाँ उड़ती हैं।
This is a map.,यह एक नक्शा है।
Tom is my son.,टॉम मेरा बेटा है।
We're in town.,हम शहर में हैं।
Were you shot?,क्या तुम्हें गोली लगी?
What about us?,हमारे बारे में क्या?
Can I help you?,क्या मैं आपकी मदद कर सकता हूँ?
Can I help you?,क्या मैं आपकी मदद कर सकता हूँ?
Clean the room.,कमरा साफ करो।
Don't touch it.,इसे मत छुओ।
Get out of bed!,बिस्तर से बाहर आओ!
Happy New Year!,नया साल मुबारक हो!
Happy New Year!,नया साल मुबारक हो!
Happy birthday!,जन्मदिन मुबारक हो!
He has a beard.,उसकी दाढ़ी है।
He is an actor.,वह एक अभिनेता है।
He needs money.,उसे पैसे की जरूरत है।
He was hard up.,वह तंगहाल था।
I like history.,मुझे इतिहास पसंद है।
I like the dog.,मुझे कुत्ता पसंद है।
I must buy one.,मुझे एक खरीदनी है।
I'll come back.,मैं वापस आऊंगा।
I'll phone you.,मैं आपको फोन करूंगा।
I'll stay home.,मैं घर पर रहूंगा।
I'm an atheist.,मैं नास्तिक हूँ।
I'm an atheist.,मैं नास्तिक हूँ।
I'm very tired.,मैं बहुत थका हुआ हूँ।
It's hot today.,आज गर्मी है।
It's this book.,यह वही किताब है।
It's your move.,यह तुम्हारी चाल है।
Only God knows.,सिर्फ भगवान ही जानते हैं।
Summer is over.,गर्मी खत्म हो गई है।
Take your time.,अपना समय लो।
Think about it.,इस पर विचार करें।
This is a book.,यह एक किताब है।
This is a book.,यह एक किताब है।
This is my bag.,यह मेरा बैग है।
This is my dog.,यह मेरा कुत्ता है।
Wash your feet.,अपने पैर धो लो।
We study music.,हम संगीत का अध्ययन करते हैं।
We'll call you.,हम आपको कॉल करेंगे।
We'll call you.,हम आपको कॉल करेंगे।
Where were you?,तुम कहाँ थे?
Where were you?,तुम कहाँ थे?
You have to go.,तुम्हें जाना होगा।
You look tired.,तुम थके हुए लग रहे हो।
You're kidding!,तुम मजाक कर रहे हो!
A man must work.,एक आदमी को काम करना चाहिए।
Are you at home?,क्या तुम घर पर हो?
Are you guys OK?,क्या आप लोग ठीक हैं?
Come home early.,जल्दी घर आओ।
Come if you can.,अगर तुम आ सकते हो।
Congratulations!,बधाई हो!
Congratulations!,बधाई हो!
Did he go there?,क्या वह वहां गया था?
Did you miss me?,क्या तुमने मुझे याद किया?
Don't be absurd.,मूर्ख मत बनो।
He came running.,वह दौड़ता हुआ आया।
He can't be ill.,वह बीमार नहीं हो सकता।
He has a hat on.,उसने टोपी पहनी है।
He reads Arabic.,वह अरबी पढ़ता है।
He's my husband.,वह मेरा पति है।
How is everyone?,सभी कैसे हैं?
How is it going?,यह कैसे हो रहा है?
How old are you?,तुम्हारी उम्र क्या है?
How rude of you!,तुम कितने अभद्र हो!
How rude of you!,तुम कितने अभद्र हो!
I cooked dinner.,मैंने रात का खाना बनाया।
I feel nauseous.,मुझे मतली आ रही है।
I go every year.,मैं हर साल जाता हूँ।
I heard a noise.,मुझे एक आवाज सुनाई दी।
I like this one.,मुझे यह पसंद है।
I run every day.,मैं हर दिन दौड़ता हूँ।
I saw her again.,मैंने उसे फिर से देखा।
I want a guitar.,मैं एक गिटार चाहता हूँ।
I was assaulted.,मुझ पर हमला हुआ था।
I'm a good cook.,मैं अच्छा रसोइया हूँ।
I'm a good cook.,मैं अच्छा रसोइया हूँ।
I'm lucky today.,आज मेरा भाग्य अच्छा है।
Is anybody here?,क्या यहाँ कोई है?
Is it not black?,यह काला नहीं है?
Is there a cafe?,क्या यहां कोई कैफे है?
Let's fly kites.,चलो पतंग उड़ाते हैं।
"No, I didn't go.","नहीं, मैं नहीं गया।"
Nobody's around.,आसपास कोई नहीं है।
Now stop crying.,अब रोना बंद करो।
Open your mouth!,अपना मुँह खोलो!
Please sit down.,कृपया बैठ जाओ।
She is a beauty.,वह एक सुंदरता है।
She talks a lot.,वह बहुत बातें करती है।
She talks a lot.,वह बहुत बातें करती है।
That isn't fair.,यह सही नहीं है।
That's my fault.,यह मेरी गलती थी।
The dog is mine.,कुत्ता मेरा है।
The power's out.,बिजली चली गई है।
These are birds.,ये पक्षी हैं।
This is for you.,यह तुम्हारे लिए है।
We lack nothing.,हमें कुछ भी कमी नहीं है।
We study Arabic.,हम अरबी का अध्ययन करते हैं।
What time is it?,समय क्या हुआ है?
What time is it?,समय क्या हुआ है?
Where's my book?,मेरी किताब कहाँ है?
You startled me!,तुमने मुझे डरा दिया!
You're a person.,तुम एक इंसान हो।
Are you a doctor?,क्या तुम डॉक्टर हो?
Can you teach me?,क्या तुम मुझे सिखा सकते हो?
Climb to the top.,शीर्ष पर चढ़ो।
Come and join us.,आओ और हमारे साथ जुड़ो।
Come sit with us.,हमारे साथ बैठो।
Cut the potatoes.,आलू काटो।
Do you have rice?,क्या तुम्हारे पास चावल है?
Don't make faces.,मुँह मत बनाओ।
Don't make noise.,शोर मत करो।
Have a good time.,अच्छा समय बिताओ।
Have a nice time.,अच्छा समय बिताओ।
He has long legs.,उसकी लंबी टाँगें हैं।
He is her friend.,वह उसकी दोस्त है।
He likes oranges.,उसे संतरे पसंद हैं।
He likes oranges.,उसे संतरे पसंद हैं।
He must love you.,उसे तुम्हें प्यार करना चाहिए।
He speaks Arabic.,वह अरबी बोलता है।
Here is your bag.,यह रहा तुम्हारा बैग।
I can't remember.,मुझे याद नहीं आ रहा है।
I don't know him.,मैं उसे नहीं जानता।
I have a problem.,मेरी एक समस्या है।
I have to go now.,मुझे अब जाना है।
I live near here.,मैं यहाँ के पास रहता हूँ।
I love my mother.,मुझे अपनी माँ से प्यार है।
I must leave now.,मुझे अब जाना है।
I'm really tired.,मैं वास्तव में थका हुआ हूँ।
I'm very thirsty.,मैं बहुत प्यासा हूँ।
It's April first.,यह अप्रैल की पहली तारीख है।
It's now my turn.,अब मेरी बारी है।
Let me try again.,मुझे फिर से प्रयास करने दो।
Nice to meet you.,आपसे मिलकर खुशी हुई।
Please follow me.,कृपया मेरा अनुसरण करें।
Please sign here.,कृपया यहां साइन करें।
She betrayed you.,उसने तुम्हें धोखा दिया।
"Sit down, please.","बैठ जाओ, कृपया।"
The car is ready.,कार तैयार है।
This is your dog.,यह तुम्हारा कुत्ता है।
This is your key.,यह तुम्हारी चाबी है।
This isn't right.,यह सही नहीं है।
Tom is my friend.,टॉम मेरा दोस्त है।
We're going home.,हम घर जा रहे हैं।
We're in a hurry.,हमें जल्दी है।
Welcome to Japan.,जापान में आपका स्वागत है।
What is your age?,आपकी उम्र क्या है?
What's that bird?,वह कौन सा पक्षी है?
What's the story?,कहानी क्या है?
What's your name?,तुम्हारा नाम क्या है?
Where did you go?,तुम कहाँ गए थे?
Where is the bar?,बार कहाँ है?
Whose turn is it?,किसकी बारी है?
You may be right.,शायद तुम सही हो।
Are your eyes bad?,क्या तुम्हारी आँखें खराब हैं?
Birds build nests.,पक्षी घोंसले बनाते हैं।
Birds build nests.,पक्षी घोंसले बनाते हैं।
Boys will be boys.,लड़के तो लड़के हैं।
Can I do anything?,क्या मैं कुछ कर सकता हूँ?
Didn't you go out?,तुम बाहर नहीं गए?
Didn't you go out?,तुम बाहर नहीं गए?
Didn't you go out?,तुम बाहर नहीं गए?
Do you believe me?,क्या तुम मुझ पर विश्वास करते हो?
Do you believe me?,क्या तुम मुझ पर विश्वास करते हो?
Do you believe me?,क्या तुम मुझ पर विश्वास करते हो?
Don't deceive him.,उसे धोखा मत देना।
He began to shout.,वह चिल्लाने लगा।
He came to see me.,वह मुझे देखने आया।
He employs a maid.,वह एक नौकरानी रखता है।
He is after a job.,वह नौकरी की तलाश में है।
He is walking now.,वह अब चल रहा है।
He studied abroad.,उसने विदेश में पढ़ाई की।
He turned traitor.,वह गद्दार बन गया।
He's already left.,वह पहले ही चला गया।
I can drive a car.,मैं गाड़ी चला सकता हूँ।
I cried all night.,मैं पूरी रात रोया।
I got very sleepy.,मुझे बहुत नींद आ रही थी।
I have a headache.,मेरे सिर में दर्द हो रहा है।
I have a headache.,मेरे सिर में दर्द हो रहा है।
I have some money.,मेरे पास कुछ पैसे हैं।
I haven't met him.,मैं उससे नहीं मिला हूँ।
I listen to music.,मैं संगीत सुनता हूँ।
I saw him running.,मैंने उसे दौड़ते हुए देखा।
I saw him running.,मैंने उसे दौड़ते हुए देखा।
I truly loved her.,मैं वास्तव में उससे प्यार करता था।
I work for a bank.,मैं एक बैंक में काम करता हूँ।
I'm getting happy.,मैं खुश हो रहा हूँ।
I'm not a student.,मैं छात्र नहीं हूँ।
I'm not like that.,मैं ऐसा नहीं हूँ।
I'm really hungry.,मैं वास्तव में भूखा हूँ।
It's not my fault.,यह मेरी गलती नहीं है।
It's starting now.,यह अब शुरू हो रहा है।
My bag was stolen.,मेरा बैग चोरी हो गया।
My eyes are tired.,मेरी आँखें थक गई हैं।
No one's in sight.,आसपास कोई नहीं है।
Put your hands up!,अपने हाथ ऊपर करो!
She began to sing.,उसने गाना शुरू किया।
She has blue eyes.,उसकी नीली आँखें हैं।
She isn't married.,वह शादीशुदा नहीं है।
Tell me the truth.,मुझे सच्चाई बताओ।
The earth rotates.,पृथ्वी घूमती है।
Try it once again.,इसे एक बार फिर आजमाएं।
Try it once again.,इसे एक बार फिर आजमाएं।
Turn on the radio.,रेडियो चालू करो।
We don't know her.,हम उसे नहीं जानते।
We don't know him.,हम उसे नहीं जानते।
We have good news.,हमारे पास अच्छी खबर है।
What is happiness?,खुशी क्या है?
What is happiness?,खुशी क्या है?
What is your name?,तुम्हारा नाम क्या है?
What's the matter?,मामला क्या है?
Where do you live?,तुम कहाँ रहते हो?
Where do you live?,तुम कहाँ रहते हो?
Where do you live?,तुम कहाँ रहते हो?
Where do you live?,तुम कहाँ रहते हो?
Where do you live?,तुम कहाँ रहते हो?
Where is the book?,किताब कहाँ है?
Where's the beach?,समुद्र तट कहाँ है?
Who made this pie?,यह पाई किसने बनाई?
Yes. That's right.,हाँ। सही बात है।
You have to leave.,तुम्हें जाना होगा।
Are you busy today?,क्या तुम आज व्यस्त हो?
Are you busy today?,क्या तुम आज व्यस्त हो?
Can we have a talk?,क्या हम बात कर सकते हैं?
Come along with us.,हमारे साथ आओ।
Did you sleep well?,क्या तुमने अच्छी नींद ली?
Do you remember me?,क्या तुम मुझे याद करते हो?
Don't give up hope.,उम्मीद मत छोड़ो।
Don't throw stones.,पत्थर मत फेंको।
Everyone likes her.,सभी उसे पसंद करते हैं।
Everyone likes him.,सभी उसे पसंद करते हैं।
Have you gone nuts?,क्या तुम पागल हो गए हो?
He breathed deeply.,उसने गहरी साँस ली।
He closed his eyes.,उसने अपनी आँखें बंद कर लीं।
He cried and cried.,वह रोता रहा।
He is a simple man.,वह एक साधारण आदमी है।
He is sure to come.,वह जरूर आएगा।
He isn't my cousin.,वह मेरा चचेरा भाई नहीं है।
He isn't my cousin.,वह मेरा चचेरा भाई नहीं है।
He waited his turn.,उसने अपनी बारी का इंतजार किया।
He works at a bank.,वह बैंक में काम करता है।
He's a good person.,वह एक अच्छा व्यक्ति है।
I admit my mistake.,मैं अपनी गलती मानता हूँ।
I can read English.,मैं अंग्रेजी पढ़ सकता हूँ।
I can read English.,मैं अंग्रेजी पढ़ सकता हूँ।
I can't believe it!,मुझे विश्वास नहीं हो रहा है!
I heard him go out.,मैंने उसे बाहर जाते सुना।
I know her address.,मुझे उसका पता पता है।
I know his address.,मुझे उसका पता पता है।
I know those women.,मुझे उन औरतों का पता है।
I know your father.,मुझे तुम्हारे पिता का पता है।
I sort of like him.,मुझे वह थोड़ा पसंद है।
I still don't know.,मुझे अभी भी नहीं पता।
I was born in 1960.,मेरा जन्म 1960 में हुआ था।
I was born in 1979.,मेरा जन्म 1979 में हुआ था।
I watch television.,मैं टेलीविजन देखता हूँ।
I worked all night.,मैंने पूरी रात काम किया।
I worked all night.,मैंने पूरी रात काम किया।
I'll see you later.,मैं बाद में मिलूंगा।
I'll see you later.,मैं बाद में मिलूंगा।
I'm as tall as you.,मैं तुम्हारे जितना लंबा हूँ।
I'm coming at once.,मैं तुरंत आ रहा हूँ।
Is this book yours?,क्या यह किताब तुम्हारी है?
It is already dark.,यह पहले से ही अंधेरा है।
It looks like snow.,ऐसा लगता है कि बर्फ गिरने वाली है।
It started to snow.,बर्फ गिरने लगी।
It was sort of fun.,यह कुछ मजेदार था।
"It's mine, not his.","यह मेरा है, उसका नहीं।"
"It's mine, not his.","यह मेरा है, उसका नहीं।"
It's too expensive!,यह बहुत महंगा है!
It's too expensive!,यह बहुत महंगा है!
It's very hot here.,यहाँ बहुत गर्मी है।
Let me handle this.,मुझे यह संभालने दो।
Let's take a train.,चलो ट्रेन लेते हैं।
My car is a Toyota.,मेरी कार टोयोटा है।
My family is small.,मेरा परिवार छोटा है।
My wife is Chinese.,मेरी पत्नी चीनी है।
My wife is Chinese.,मेरी पत्नी चीनी है।
No one can help me.,कोई मेरी मदद नहीं कर सकता।
She is very pretty.,वह बहुत सुंदर है।
She leaped for joy.,वह खुशी से उछल पड़ी।
She smiled happily.,वह खुशी से मुस्कुराई।
She's not a doctor.,वह डॉक्टर नहीं है।
That guy annoys me.,वह आदमी मुझे परेशान करता है।
The batter was out.,बल्लेबाज आउट हो गया।
The crow flew away.,कौआ उड़ गया।
The power went out.,बिजली चली गई।
These dogs are big.,ये कुत्ते बड़े हैं।
This is Mary's dog.,यह मेरी है।
Was his story true?,क्या उसकी कहानी सच थी?
We are against war.,हम युद्ध के खिलाफ हैं।
We are against war.,हम युद्ध के खिलाफ हैं।
We enjoyed skating.,हमने स्केटिंग का आनंद लिया।
We were in a hurry.,हम जल्दी में थे।
We were very tired.,हम बहुत थक गए थे।
We're good friends.,हम अच्छे दोस्त हैं।
What a big pumpkin!,क्या बड़ा कद्दू है!
What's the problem?,समस्या क्या है?
When does it begin?,यह कब शुरू होगा?
Where are the kids?,बच्चे कहाँ हैं?
Where is the beach?,समुद्र तट कहाँ है?
Which dog is yours?,कौन सा कुत्ता तुम्हारा है?
Who broke the vase?,किसने फूलदान तोड़ा?
Who made this cake?,किसने यह केक बनाया?
Who's at the wheel?,कौन पहिये पर है?
Whose book is this?,यह किसकी किताब है?
You may use my pen.,तुम मेरा पेन इस्तेमाल कर सकते हो।
Answer my questions.,मेरे सवालों का जवाब दो।
Are they in the gym?,क्या वे जिम में हैं?
Can you drive a car?,क्या तुम कार चला सकते हो?
Can you drive a car?,क्या तुम कार चला सकते हो?
Could you sign here?,क्या आप यहां साइन कर सकते हैं?
Everybody likes her.,सभी उसे पसंद करते हैं।
Everybody likes him.,सभी उसे पसंद करते हैं।
"Excuse me, I'm lost.","मुझे माफ करना, मैं खो गया हूँ।"
He called me a taxi.,उसने मुझे टैक्सी बुलवाई।
He felt very lonely.,वह बहुत अकेला महसूस कर रहा था।
He lives next to me.,वह मेरे बगल में रहता है।
He looks very tired.,वह बहुत थका हुआ दिखता है।
He seems to be rich.,वह अमीर लगता है।
He'll get well soon.,वह जल्द ही ठीक हो जाएगा।
He's in a bad state.,वह बुरी स्थिति में है।
How about the taste?,स्वाद के बारे में क्या?
How did you make it?,आपने इसे कैसे बनाया?
I am not from India.,मैं भारत से नहीं हूँ।
I am reading a book.,मैं किताब पढ़ रहा हूँ।
I bought an old car.,मैंने पुरानी कार खरीदी।
I can teach English.,मैं अंग्रेजी पढ़ा सकता हूँ।
I continued singing.,मैं गाना गाना जारी रखता हूँ।
I do not understand.,मुझे समझ नहीं आता।
I don't like summer.,मुझे गर्मी पसंद नहीं है।
I forgot to ask him.,मैं उससे पूछना भूल गया।
I hate taking risks.,मुझे जोखिम लेना पसंद नहीं है।
I haven't eaten yet.,मैंने अभी तक नहीं खाया है।
I know both of them.,मुझे दोनों का पता है।
I know what that is.,मुझे पता है कि यह क्या है।
I tried to tell you.,मैंने आपको बताने की कोशिश की।
I want to marry her.,मैं उससे शादी करना चाहता हूँ।
I wanted her to win.,मैं चाहता था कि वह जीते।
I'd like a city map.,मुझे शहर का नक्शा चाहिए।
I'd like to see her.,मैं उससे मिलना चाहता हूँ।
I'd like to see her.,मैं उससे मिलना चाहता हूँ।
I'll be back at ten.,मैं दस बजे लौटूंगा।
I'll bring the wine.,मैं शराब लाऊंगा।
I'll bring the wine.,मैं शराब लाऊंगा।
I'll make you happy.,मैं तुम्हें खुश कर दूंगा।
I've already called.,मैंने पहले ही कॉल कर लिया है।
I've lost my ticket.,मैंने अपना टिकट खो दिया है।
Let's play baseball!,चलो बेसबॉल खेलते हैं!
Must I write in ink?,क्या मुझे स्याही में लिखना चाहिए?
My family loved Tom.,मेरा परिवार टॉम से प्यार करता था।
My money was stolen.,मेरा पैसा चोरी हो गया।
My sister has a job.,मेरी बहन के पास नौकरी है।
She kept on working.,वह काम करती रही।
She pulled my shirt.,उसने मेरी शर्ट खींची।
That is not a tiger.,वह बाघ नहीं है।
That was my mistake.,वह मेरी गलती थी।
The skies are clear.,आसमान साफ है।
The trees are green.,पेड़ हरे हैं।
These are our books.,ये हमारी किताबें हैं।
This is what I need.,यह वही है जो मुझे चाहिए।
Watch your language.,अपनी भाषा पर ध्यान दें।